id,year,month,day,country,region,district,city,un,ingo,lgno_ncrs,icrc,ifrc,other,nationals_killed,nationals_wounded,nationals_kidnapped,total_nationals,internationals_killed,internationals_wounded,internationals_kidnapped,total_internationals,total_killed,total_wounded,total_kidnapped,total_affected,gender_male,gender_female,gender_unknown,means_of_attack,attack_context,location,lat,lng,details_(public),column,country_id,assumedday,assumedmonth,time,bucket
108,2000.0,4.0,4.0,Democratic Republic of Congo,Sud Kivu,,Uvira,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,S,Am,U,-3.4055866000000004,29.1375509,"1 INGO national staff shot and killed in Uvira, April 4.","Uvira, Sud-Kivu, Congo-Kinshasa",180,4,4,9.548064e+11,1
109,2000.0,4.0,,Democratic Republic of Congo,Orientale,Ituri,Bunia,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,K,Am,R,1.566667,30.25,"2 INGO national staff hijacked in Bunia, Ituri by militia and forced to transport weapons. Led to organization's withdrawal from province.",,180,1,4,9.545472e+11,1
110,2000.0,4.0,15.0,Somalia,Lower Shebelle,,Barawa Merka Road,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,U,Am,U,1.8427539000000002,44.5937239,1 INGO national staff killed and 1 wounded in ambush in Brava-Merka Roa on April 15.,"Lower Shebelle, Somalia",706,15,4,9.557568e+11,1
111,2000.0,5.0,,Afghanistan,,,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,B,U,U,33.93911,67.709953,1 UN national staff killed in bombardment,,4,1,5,9.571392e+11,1
112,2000.0,5.0,,Angola,,,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,U,Am,R,-11.877576800000002,17.5691241,1 UN national staff killed when convoy attacked.,,24,1,5,9.571392e+11,1
113,2000.0,5.0,,Sierra Leone,Southern,Bonthe,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,K,U,U,7.5272741,-12.5019545,I INGO international (British) staff kidnapped and released six weeks later.,"Bonthe, Bonthe District, Sierra Leone",694,1,5,9.571392e+11,1
114,2000.0,5.0,3.0,Somalia,Banaadir,,Mogadishu,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,S,IA,U,2.0333330000000003,45.35,"1 INGO national staff shot and killed in Mogadishu, May 3.",,706,3,5,9.57312e+11,1
115,2000.0,6.0,10.0,Angola,,,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,U,U,U,-11.877576800000002,17.5691241,"1 UN national staff killed in Angola, June 10.",,24,10,6,9.605952e+11,1
116,2000.0,6.0,,Somalia,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,S,Am,U,8.3676771,49.083416,1 international agency international (German) staff stabbed to death in car reportedly by deranged man.,,706,1,6,9.598176e+11,1
117,2000.0,6.0,,Iraq,Baghdad,,Baghdad,8.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,7.0,1.0,0.0,0.0,1.0,2.0,6.0,0.0,8.0,0.0,0.0,8.0,S,R,H,33.302424800000004,44.3787992,"1 UN international staff killed, 1 national killed, and 6 nationals wounded by a gunman in two-hour standoff at UN Baghdad HQ.","Baghdad, Karkh, Iraq",368,1,6,9.598176e+11,1
118,2000.0,7.0,,Somalia,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,S,Am,R,8.3676771,49.083416,"UN natl staff, Dr. Salad Osoble, shot and wounded on road to Mogadishu by bandits.",,706,1,7,9.624096e+11,1
119,2000.0,7.0,9.0,Democratic Republic of Congo,,,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,U,Am,U,-2.9814344,23.8222636,1 INGO national and 1 international (Kenyan) wounded along with 3 other health workers (not counted here) in July 9 ambush that killed local health center director (also not counted here).,,180,9,7,9.631008e+11,1
120,2000.0,7.0,27.0,Colombia,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,K,U,U,2.8930783,-73.7845072,"1 INGO international (French)staff kidnapped, July 27.",,170,27,7,9.64656e+11,1
121,2000.0,7.0,,Somalia,,,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,K,U,U,8.3676771,49.083416,2 INGO international staff kidnapped and held for two months by Osman Atto's militia.,,706,1,7,9.624096e+11,1
122,2000.0,8.0,,Afghanistan,Herat,,,8.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,8.0,0.0,0.0,8.0,U,Am,R,34.3508273,62.2164003,7 UN-contracted national staff killed and 1 wounded in ambush near Herat.,"Herat, Afghanistan",4,1,8,9.65088e+11,2
123,2000.0,8.0,,Democratic Republic of Congo,Orientale,Tshopo,Kisangani,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,U,IA,U,0.5184021,25.2057292,1 UN international staff found dead in Kisangani; undetermined motivation.,"Kisangani, Tshopo, Congo-Kinshasa",180,1,8,9.65088e+11,2
124,2000.0,8.0,,Georgia,Pankisi,,,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,3.0,1.0,0.0,2.0,K,U,U,42.14533005,45.3025268,"2 ICRC international staff (Italian, French) and 1 national staff kidnapped in Pankisi. All released unharmed.","Kvemo Khalatsani, Akhmeta, Georgia",268,1,8,9.65088e+11,2
125,2000.0,8.0,27.0,Indonesia,South Aceh,,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,3.0,U,D,C,4.14717685,96.13821685,"3 INGO national staff working in South Aceh were hospitalised after being tortured by Brimob officers, Aug 27.","T.Umar, Meulaboh, Indonesia",360,27,8,9.673344e+11,2
126,2000.0,9.0,,Indonesia,,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,U,R,U,-6.21195,106.845056,3 UN internationals killed by mob in W. Timor.,,360,1,9,9.677664e+11,2
127,2000.0,9.0,,Guinea,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,K,U,U,10.7226226,-10.7083587,1 UN international (Togolese) staff killed and 1 international staff (Ivorian) kidnapped.,Guinea,324,1,9,9.677664e+11,2
128,2000.0,9.0,,Indonesia,Aceh,Meukek,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,S,D,C,3.449,97.1275,1 NGO natrional staff beaten/tortured when detained by members of Brimob in Meukek Sub-district.,"Gunung Meukek, Aceh, Indonesia",360,1,9,9.677664e+11,2
129,2000.0,11.0,,Sudan,,,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,U,U,U,14.584444400000002,29.4917691,1 UN national staff killed.,,729,1,11,9.730368e+11,2
130,2000.0,12.0,,Guinea,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,K,U,U,10.7226226,-10.7083587,"1 UN national staff kidnapped and released Jan 22, 2001.",,324,1,12,9.756288e+11,3
131,2000.0,12.0,,Sudan,,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,B,U,U,14.584444400000002,29.4917691,1 ICRC national staff killed in aerial bombing.,,729,1,12,9.756288e+11,3
132,2000.0,12.0,20.0,Sudan,,,,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,U,Am,R,14.584444400000002,29.4917691,"2 national staff, one from an INGO and one from a national NGO, killed in ambush on Dec 20.",,729,20,12,9.772704e+11,3
133,2000.0,12.0,,Burundi,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,U,Am,R,-3.3634357,29.8870575,1 INGO international (British) staff killed in bus attack.,,108,1,12,9.756288e+11,3
134,2000.0,12.0,9.0,Indonesia,,,,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,U,D,C,-6.21195,106.845056,3 NGO national staff executed by police Dec 9.,,360,9,12,9.7632e+11,3
135,2000.0,12.0,,Guinea,,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,U,IA,H,10.7226226,-10.7083587,1 INGO national staff killed (along with wife); bodies found in organization's guest house.,,324,1,12,9.756288e+11,3
137,2001.0,1.0,9.0,Russia,Chechnya,,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,K,Am,R,43.397614700000005,45.6985005,"1 INGO international staff kidnapped, Jan 9 and released Feb 4. 1 INGO international staff of another organization wounded when the kidnappers fired on convoy.",,643,9,1,9.789984e+11,4
138,2001.0,3.0,27.0,Democratic Republic of Congo,Bas-Congo,,Kimpese,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,S,Am,R,-5.78156,12.63389,"1 UN national staff shot and killed by gunmen in ambush and stole victim's vehicle in Kimpese, March 27.","Bas-Congo, Congo",180,27,3,9.856512e+11,4
139,2001.0,3.0,,Somalia,Banaadir,,Mogadishu,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,9.0,9.0,0.0,0.0,10.0,10.0,0.0,0.0,7.0,K,R,H,2.0333330000000003,45.35,"7 UN (6 international, 1 national) staff and 3 INGO international staff held hostage when gunmen stormed and ransacked the INGO's compound in Mogadishu, March 27. Five of the internationals were released within a few days. 2 more international staff (2 UN agencies) were released a few days later.",,706,1,3,9.834048e+11,4
140,2001.0,3.0,8.0,Sudan,,,,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,4.0,K,R,PS,14.584444400000002,29.4917691,"2 INGO international (Kenyan) and 2 national staff kidnapped when armed rebels attacked village, March 8.",,729,8,3,9.840096e+11,4
141,2001.0,4.0,3.0,Burundi,,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,U,Am,R,-3.3634357,29.8870575,"4 UN national staff wounded when UN vehicles attacked, April 3.",,108,3,4,9.86256e+11,5
142,2001.0,2.0,26.0,Democratic Republic of Congo,Orientale,,Bunia,0.0,0.0,0.0,6.0,0.0,0.0,4.0,0.0,0.0,4.0,2.0,0.0,0.0,2.0,6.0,0.0,0.0,6.0,0.0,0.0,6.0,U,Am,R,1.5625,30.2484167,"2 ICRC international (Swiss, Colombian) and 4 national staff ambushed and killed near Bunia, Feb 26.","Bunia, Ituri, Congo-Kinshasa",180,26,2,9.831456e+11,4
143,2001.0,4.0,,Kosovo,,,,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,B,U,U,42.56231965,20.9060579,"1 INGO national staff killed, 1 wounded when hit by cluster bomb.",,-1,1,4,9.860832e+11,5
144,2001.0,4.0,18.0,Russia,,,,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,S,Am,R,64.6863136,97.7453061,1 NGO national staff killed and 1 national staff wounded after being shot in a car and later died.,Russian Federation,643,18,4,9.87552e+11,5
145,2001.0,5.0,8.0,Madagascar,,,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,S,U,U,-18.9249604,46.4416422,"1 UN national staff shot and killed, May 8",Madagascar,450,8,5,9.8928e+11,5
146,2001.0,5.0,,Sudan,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,B,Am,R,14.584444400000002,29.4917691,1 ICRC international (Danish) staff killed when plane downed by projectile fired from unknown origin.,,729,1,5,9.886752e+11,5
147,2001.0,5.0,,Cameroon,Yaounde,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,S,IA,R,3.8689867,11.5213344,1 IFRC international (French) staff killed afrter being attacked and stabbed in the chest on her way to a pharmacy to get medicine for her baby.,"Yaounde, CUY, Cameroon",120,1,5,9.886752e+11,5
148,2001.0,5.0,11.0,Burundi,,,,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,6.0,K,U,PS,-3.3634357,29.8870575,"6 INGO national staff kidnapped when operating mobile clinic, May 11, later released unharmed.",,108,11,5,9.895392e+11,5
149,2001.0,6.0,,Burundi,,,,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,0.0,0.0,4.0,K,U,U,-3.3634357,29.8870575,"1 INGO national staff killed, 3 kidnapped.",,108,1,6,9.913536e+11,5
150,2001.0,6.0,,Tajikistan,,,,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,6.0,6.0,0.0,0.0,15.0,15.0,0.0,0.0,15.0,K,U,U,38.62817329999999,70.8156541,"6 INGO international staff (4 Germans, 1 US, 1 Russian) and 9 national staff held hostage by militants and later released.",,762,1,6,9.913536e+11,5
151,2001.0,7.0,5.0,Angola,Huambo,,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,U,Am,R,-12.776539199999998,15.7320468,"1 UN national staff killed in convoy ambush near Huambo, July 5.","Huambo, Angola",24,5,7,9.942912e+11,5
152,2001.0,7.0,5.0,Central African Republic,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,U,U,U,4.361697,18.555978,"1 UN international (French) staff killed in C.A.R., July 5.",,140,5,7,9.942912e+11,5
153,2001.0,7.0,,Fiji,,,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,U,IA,H,-18.123969600000002,179.0122737,1 national RC worker killed at home.,Fiji,242,1,7,9.939456e+11,5
154,2001.0,7.0,,Angola,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,S,IA,H,-11.877576800000002,17.5691241,1 INGO national staff shot and wounded on his home compound when visiting latrine. Civil Defence responsible and arrested.,,24,1,7,9.939456e+11,5
155,2001.0,7.0,14.0,Somalia,Banaadir,,near Mogadishu,8.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,8.0,0.0,0.0,8.0,S,Am,R,2.0371099999999998,45.34375,"2 UN national staff wounded and 6 killed when UN relief convoy ambushed by militiamen loyal to warlord Osman Atto near Mogadishu, July 14.","Mogadishu, Banaadir, Somalia",706,14,7,9.950688e+11,5
156,2001.0,8.0,,Democratic Republic of Congo,Sud Kivu,,Ruzizi Plain,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,K,U,U,-3.16667,28.25,"1 INGO international (French) staff and 2 nationals kidnapped by Mai-Mai groups on the Ruzizi Plain in eastern DRC in late August, and held for almost one week, prompting the INGO to temporarily suspend their operations in the Eastern DRC (OFDA rpt).","South Kivu, Congo",180,1,8,9.96624e+11,6
157,2001.0,9.0,,Sudan,,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,U,Am,U,14.584444400000002,29.4917691,1 INGO national staff killed in ambush.,,729,1,9,9.993024e+11,6
158,2001.0,9.0,,Somalia,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,K,Am,R,8.3676771,49.083416,1 INGO national staff kidnapped on his way to work.,,706,1,9,9.993024e+11,6
159,2001.0,9.0,,Angola,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,L,C,U,-11.877576800000002,17.5691241,One INGO national staff wounded by landmine while fixing hand pump. Resulted in amputation.,,24,1,9,9.993024e+11,6
160,2001.0,10.0,3.0,Indonesia,Aceh,,Bireuen,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,S,IA,PS,5.2022128,96.7023788,1 IFRC national staff killed with signs of torture in Aceh.,"Bireuen, Aceh, Indonesia",360,3,10,1.0020672e+12,6
161,2001.0,11.0,,Burundi,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,U,IA,U,-3.3634357,29.8870575,1 UN international (Ivoirian) staff killed.,,108,1,11,1.0045728e+12,6
162,2001.0,12.0,,Afghanistan,,,,4.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,5.0,1.0,0.0,4.0,S,Am,U,33.93911,67.709953,"3 UN national staff beaten/wounded; 1 UN (different agency) national staff shot dead, and 1 NGO national staff wounded (broken arm).",,4,1,12,1.0071648e+12,7
163,2001.0,12.0,,Afghanistan,,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,U,Am,U,33.93911,67.709953,1 INGO national staff killed.,,4,1,12,1.0071648e+12,7
164,2001.0,12.0,,Pakistan,Khyber Pakhtunkhwa,Qilla Abdullah,"Chaman, Roghani Camp",0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,S,MV,PS,34.45993,72.50237,1 INGO national staff stoned and beaten in dispute over filling a water bladder at Rhogani Camp.,"Khyber Pakhtunkhwa, Pakistan",586,1,12,1.0071648e+12,7
166,2002.0,1.0,,Afghanistan,Samangan,Aybak,Aybak,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,S,Am,U,36.26468,68.01551,2 UN national staff beaten in ambush in Aibak.,"Aībak, Samangān, Afghanistan",4,1,1,1.0098432e+12,8
167,2002.0,1.0,25.0,Democratic Republic of Congo,Maniema,,Kindu-Kalima road,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,K,Am,R,-2.91667,25.91667,3 INGO national staff kidnapped when vehicle ambushed on Kindu-Kalima road on Jan 25- later released.,"Maniema, Congo",180,25,1,1.0119168e+12,8
168,2002.0,2.0,,Somalia,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,K,U,U,8.3676771,49.083416,1 UN national staff kidnapped and held for 6 days in suspected contractual dispute.,,706,1,2,1.0125216e+12,8
169,2002.0,2.0,,Burundi,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,U,Am,U,-3.3634357,29.8870575,1 UN national staff wounded in ambush.,,108,1,2,1.0125216e+12,8
